,car,body,mileage,engV,engType,registration,year,drive
3631,3,3,300,2.5,3,0,1997,2
3036,40,3,225,3.0,1,1,2004,0
8326,5,4,290,2.4,3,1,2008,0
3175,31,0,0,1.2,3,1,2016,0
7343,15,3,35,2.0,3,1,2015,0
1564,40,1,67,1.6,3,1,2012,0
2092,3,3,245,2.5,3,1,2007,2
6675,26,3,405,2.0,0,1,1992,2
2469,43,1,29,1.4,3,1,2014,0
5936,22,0,350,2.5,0,0,1995,1
2291,35,4,150,1.4,3,1,2010,0
8126,35,1,89,1.4,3,1,2010,0
6517,25,3,169,2.0,3,1,2005,0
3274,2,3,226,1.8,3,1,1995,0
2518,42,3,100,1.5,3,1,2008,0
4732,21,3,90,2.0,3,1,2008,0
5180,16,1,210,1.4,1,1,1998,0
6810,26,4,122,2.3,3,1,1987,2
533,22,0,171,3.6,0,1,2008,1
3697,6,3,131,1.5,1,1,2006,0
5399,13,3,200,3.0,1,1,1993,0
3100,43,3,30,2.0,0,1,2014,0
3857,3,2,300,1.8,3,1,1994,2
1679,35,3,1,1.6,3,1,2015,0
2810,2,4,390,1.9,0,0,1998,0
3744,13,1,50,0.9,3,1,2013,0
2069,25,3,65,2.0,1,1,2009,0
54,43,3,300,1.9,0,0,1998,0
7429,10,3,148,1.6,1,1,2008,0
5291,29,3,319,2.0,3,1,1989,0
1064,23,0,141,3.0,1,1,2004,1
1366,35,3,98,1.8,3,1,2010,0
6361,23,0,145,3.5,3,1,2007,1
6050,43,5,185,1.9,0,1,2009,1
4084,27,0,111,2.4,3,1,2011,1
1912,17,0,192,2.0,0,1,2008,1
6105,8,1,114,1.6,3,1,2006,0
6483,6,3,150,1.5,3,1,2004,0
435,43,2,189,2.0,0,1,2011,0
2667,43,4,0,2.0,0,1,2014,0
264,13,3,109,1.6,1,1,2011,0
1745,43,1,22,1.2,2,1,2014,0
1121,40,0,85,3.0,0,1,2012,1
7161,2,4,310,2.5,2,0,1998,0
6720,43,0,108,3.0,0,1,2012,1
1144,43,0,1,4.2,3,1,2004,1
7485,33,1,250,1.4,3,1,1987,0
5462,16,3,97,2.0,3,1,2008,0
6463,43,0,70,1.4,3,1,2012,0
6486,33,3,277,1.5,0,1,2005,0
6916,25,3,152,2.3,3,1,2008,1
8460,26,3,222,5.5,3,1,2006,2
7550,33,4,34,1.5,0,1,2013,0
5922,12,1,170,1.0,3,1,1994,0
2559,45,1,32,1.5,1,1,2012,0
72,26,5,197,2.2,0,1,2002,0
4518,3,0,125,3.0,3,1,2007,1
5268,26,3,266,5.0,1,1,2004,2
2076,35,3,58,1.8,3,1,2012,0
8847,23,3,150,3.5,1,1,2008,0
4022,33,3,160,1.4,1,1,2008,0
372,26,3,288,3.2,1,1,2001,2
6731,42,3,82,1.5,3,1,2007,2
2716,3,0,1,3.0,3,1,2016,1
1509,34,4,78,1.2,0,1,2013,0
6630,40,3,43,1.3,3,1,2014,0
2427,7,4,76,2.7,3,1,2009,2
8156,6,0,150,1.7,3,1,2004,1
1039,40,3,30,2.5,3,1,2014,0
5084,25,2,135,1.3,3,1,2004,2
6167,26,2,209,3.0,0,1,2006,2
7476,18,3,149,3.5,3,1,2007,2
4860,22,0,124,1.8,3,0,2005,1
7997,42,1,1,1.3,1,1,1991,0
6601,42,1,104,1.6,3,1,2008,0
1454,43,3,50,2.0,3,1,2013,0
6224,3,3,221,3.0,0,0,2002,2
7178,30,2,59,4.6,3,1,1995,2
2942,35,3,47,1.8,3,1,2014,0
6736,31,4,123,1.6,2,1,2008,0
6082,42,1,70,1.5,3,1,1991,0
7370,29,1,30,1.6,1,1,2014,0
594,35,1,220,1.9,0,0,2002,0
765,3,3,272,2.0,0,1,2000,2
7290,39,0,181,2.0,2,1,2008,1
92,33,4,185,1.5,0,1,2011,0
3351,40,0,135,4.0,1,1,2007,1
7284,15,1,51,1.5,1,1,2012,0
4846,34,4,156,1.6,3,1,2006,0
3742,35,3,80,1.4,3,1,2014,0
7606,17,3,54,1.4,3,1,2008,0
2053,43,0,156,2.0,0,1,2012,0
6818,8,1,103,1.6,0,1,2012,0
4666,13,1,85,1.25,3,1,2013,0
1238,3,3,5,2.0,3,1,2016,2
7948,33,5,0,1.5,0,1,2016,0
5425,23,3,122,4.6,3,1,2008,2
7301,29,4,165,1.6,3,1,2000,0
4799,8,5,67,1.6,0,1,2012,0
3359,43,3,273,2.0,3,1,2006,0
2015,13,1,82,1.25,3,1,2007,0
6104,38,3,126,2.0,1,1,2007,1
171,22,2,155,3.6,0,1,2008,1
3826,13,1,248,1.8,3,1,2002,0
4078,43,2,30,1.4,3,1,2013,0
1108,17,0,178,2.0,0,0,2006,1
2068,33,5,175,2.0,0,1,2007,0
195,26,2,12,1.8,3,1,2012,2
4777,43,3,86,1.6,3,1,2012,0
1943,16,3,119,2.0,3,1,2007,0
8163,3,3,350,2.5,3,1,1995,2
4261,42,3,70,1.5,3,1,1990,2
3066,29,5,197,1.9,0,1,2006,0
5557,43,1,40,1.4,3,1,2013,0
7215,27,3,158,1.6,3,1,2007,0
5328,33,5,189,2.0,0,1,2010,0
3763,17,0,175,3.8,1,1,2007,1
6000,8,5,132,1.4,3,1,2006,0
1425,27,3,121,1.6,1,1,2008,0
7595,14,5,180,2.46,3,1,2000,2
7634,14,3,70,2.4,2,1,1991,2
4730,40,5,140,2.0,1,1,1985,2
4443,13,1,32,1.0,3,1,2014,0
5947,29,5,169,1.3,0,1,2009,0
3844,40,1,92,1.3,3,1,2006,0
562,38,0,110,3.0,3,1,2006,1
5776,43,1,200,1.4,3,1,2005,0
7376,34,3,344,1.8,1,0,1996,0
3068,43,3,128,2.0,3,1,2007,0
4507,43,3,84,2.0,3,1,2007,0
3384,17,3,150,2.0,1,1,2008,0
3556,38,0,118,2.5,1,1,2009,1
7620,13,2,161,2.2,0,1,2011,0
6959,42,3,165,1.6,2,1,2006,0
7690,39,0,231,2.7,3,1,2007,1
8045,42,1,115,1.6,1,1,2011,0
8439,42,1,105,1.4,2,1,2008,0
8657,31,1,80,1.6,3,1,2012,0
1275,26,5,230,2.2,0,1,2008,2
5523,26,2,275,2.15,0,1,2006,2
5609,10,3,26,1.3,1,1,2014,0
7721,27,5,168,1.8,3,0,2001,0
6402,14,3,70,2.44,1,1,1982,2
8086,29,3,170,3.2,3,1,2002,2
3017,43,3,148,2.0,3,1,2006,0
5552,13,0,100,2.5,3,1,2011,1
230,2,4,250,2.5,0,0,2001,1
2888,43,4,270,1.9,0,1,2000,0
4833,18,0,130,3.5,3,1,2009,1
2895,26,3,83,2.2,0,1,2012,2
600,13,3,67,2.0,3,1,2011,0
4339,6,3,170,1.6,1,1,2005,0
3241,33,2,173,2.0,0,1,2012,0
8546,6,1,52,1.4,2,1,2013,0
5495,43,5,318,1.9,0,1,1993,0
3950,10,3,86,1.3,3,1,2010,0
8346,42,0,42,1.7,3,1,2011,1
6715,6,3,49,1.5,3,1,2011,0
5376,17,4,159,1.6,2,1,2011,0
2451,40,3,243,2.0,1,1,1987,2
4040,10,3,129,1.5,3,1,2008,0
859,13,4,92,1.6,1,1,2013,0
6988,28,0,51,2.5,3,1,2011,1
7128,25,3,170,2.0,3,1,2005,0
8447,2,3,267,1.9,0,0,2003,0
6399,16,3,190,2.0,1,1,2006,0
7009,36,1,150,1.3,3,1,2004,0
2534,23,3,350,3.0,3,1,1996,2
7206,38,3,3,2.5,3,1,2007,1
6387,31,1,98,1.0,3,1,2012,0
4265,26,3,140,5.0,3,1,2007,2
5010,26,0,68,3.0,0,1,2014,1
659,43,1,156,1.6,0,1,2011,0
4894,26,2,115,2.2,0,1,2011,2
452,16,3,140,2.0,3,1,2006,0
5882,22,0,95,4.4,0,1,2012,1
3081,43,5,147,1.6,0,1,2013,0
1145,43,3,51,1.6,3,1,2013,0
1113,28,0,138,2.0,3,1,2008,1
779,10,3,99,1.5,3,1,2008,0
6070,2,3,85,1.8,3,1,2007,0
6633,3,2,400,2.0,3,1,1998,2
3574,42,4,120,1.5,3,1,2004,2
8814,30,5,190,1.5,3,1,1998,0
1267,18,0,0,3.7,3,1,2015,1
3094,17,0,83,2.0,3,1,2011,1
1787,43,4,196,2.0,0,1,2011,0
2072,43,3,174,2.0,3,1,2007,0
1525,28,0,87,2.0,1,1,2011,0
8651,12,1,11,1.5,3,1,1988,0
2820,26,5,127,1.8,0,1,2013,0
2009,28,0,169,2.0,3,1,2008,1
2483,25,3,274,1.5,3,0,1995,0
4557,33,4,280,1.5,0,1,2005,0
1236,43,4,139,1.4,1,1,2011,0
3432,29,2,114,1.7,0,0,2012,0
634,2,4,140,4.2,3,1,2007,1
5580,43,3,174,2.0,3,1,2005,0
812,40,0,40,2.0,3,1,2014,1
396,3,3,2,2.0,3,1,2016,2
7351,13,2,67,5.0,1,1,2011,1
4665,17,0,170,2.0,1,1,2008,1
5319,43,3,0,1.6,3,1,2016,0
5601,43,4,504,1.6,1,1,1988,0
5008,27,2,0,2.4,0,1,2016,1
204,27,0,125,3.0,1,1,2008,1
3305,24,3,101,1.6,3,1,2005,0
3345,26,5,193,2.2,0,1,2011,2
1592,40,0,160,4.0,3,1,2008,1
5248,17,0,112,2.0,3,1,2008,1
6139,29,3,221,1.8,1,1,2005,0
4114,32,0,106,3.0,0,1,2010,1
1271,2,3,150,2.0,3,1,2013,1
4125,40,0,51,3.0,0,1,2013,1
367,31,3,171,2.0,3,1,2006,0
8841,26,4,248,2.0,1,1,1996,2
1080,17,3,1,1.6,3,1,2016,0
6097,18,0,114,3.5,1,1,2008,1
4028,7,3,100,3.5,1,1,2010,2
8419,33,5,160,1.5,0,1,2005,0
7805,7,3,171,5.7,2,1,2005,1
3397,2,1,69,1.4,3,1,2012,0
4734,33,5,207,1.5,0,1,2003,0
8280,28,0,236,2.0,1,1,2007,1
4598,43,1,225,1.4,3,1,2000,0
1982,2,3,159,5.2,3,1,2008,1
7874,26,4,380,2.9,0,1,1997,2
8694,26,3,303,2.2,0,0,2000,2
7374,39,1,78,1.3,3,1,2007,0
2137,26,4,180,3.2,0,1,2002,2
5025,27,0,130,2.4,1,1,2006,1
2861,16,3,180,1.8,3,1,2009,0
4946,35,4,169,1.6,0,1,2011,0
3113,23,3,198,3.0,3,1,2005,2
6130,43,3,110,1.8,3,1,2011,0
3879,27,3,270,2.0,1,1,1998,0
8397,17,3,119,1.4,3,1,2008,0
1453,26,3,295,3.0,0,1,1994,1
208,35,1,24,1.4,3,1,2014,0
5255,38,3,226,1.6,1,1,2002,1
1773,35,2,121,1.6,3,1,2011,0
8259,33,4,179,1.5,0,1,2010,0
1134,33,5,186,1.5,0,1,2012,0
3460,35,3,190,1.9,0,0,2006,0
5870,16,3,70,2.4,3,1,2012,0
2838,38,0,0,2.0,0,1,2016,1
8778,33,3,246,1.4,3,1,2005,0
1221,43,5,1,1.6,0,1,2015,0
5058,29,3,247,1.6,3,0,1996,0
5359,26,0,220,3.2,1,1,1999,1
5924,42,1,25,1.3,3,1,1989,0
4646,43,3,271,1.8,3,1,2000,0
8232,8,1,100,1.6,0,1,2013,0
3601,12,5,140,2.0,0,1,2011,0
47,2,3,240,2.5,0,0,2000,0
7590,6,3,120,1.8,3,1,2008,0
8194,42,3,108,1.6,3,1,2008,0
3565,17,1,63,1.4,3,1,2008,0
7393,26,2,78,3.5,3,1,2010,2
250,16,1,63,1.8,3,1,2013,0
212,21,1,54,1.6,0,1,2013,0
3597,42,3,31,1.3,3,1,1986,2
4669,12,5,300,1.25,3,1,2002,0
1141,43,0,150,2.5,0,1,2005,1
480,26,2,82,5.5,3,1,2010,1
8377,35,1,80,1.2,3,1,2013,0
1278,43,0,0,3.0,0,1,2015,1
749,3,4,157,2.0,0,1,2007,2
7320,42,3,150,1.3,3,1,1989,2
7218,26,0,128,3.0,0,1,2013,1
101,29,4,231,2.0,0,0,2005,0
7182,30,3,269,2.0,0,0,2002,0
6454,35,3,0,1.8,3,1,2016,0
7639,40,1,136,1.6,3,1,2007,0
4825,35,4,236,1.2,3,1,2003,0
5514,16,2,52,2.2,3,1,2006,2
2420,6,3,168,1.5,1,1,2007,0
1537,13,5,150,1.8,0,1,2010,0
4900,27,1,108,1.3,3,1,2006,0
6624,29,1,1,2.0,1,1,1997,0
2692,28,3,66,2.5,3,1,2010,0
292,2,3,170,4.2,0,1,2011,1
4283,8,1,71,1.4,3,1,2004,0
8412,43,3,65,1.6,3,1,2013,0
3801,33,5,177,2.0,0,1,2009,0
7292,26,0,150,3.0,0,1,2013,1
4623,33,3,94,1.5,0,1,2011,0
7670,30,2,79,2.28,3,1,2007,2
4008,13,5,200,2.0,1,1,1991,2
1829,34,1,55,1.6,3,1,2010,0
5059,16,0,318,2.0,3,1,1997,1
881,21,1,124,1.1,3,1,2007,0
7099,8,5,42,1.6,0,1,2015,0
806,27,0,110,2.4,1,1,2008,1
4164,35,3,210,1.8,3,1,2008,0
3978,17,0,88,2.0,1,1,2010,1
1263,29,5,260,1.3,0,1,2010,0
1297,23,3,128,3.0,3,1,2006,1
599,35,3,170,1.6,3,1,2007,0
6022,27,5,98,2.4,3,1,2008,0
7031,40,2,130,2.7,1,1,2004,1
1175,3,2,160,3.0,0,1,2011,1
1523,26,3,174,2.6,1,1,2001,2
6237,43,3,324,1.6,0,1,1984,0
4077,13,3,190,2.3,1,1,1997,2
8233,2,4,167,2.5,0,1,2000,1
8136,40,4,60,2.2,0,1,2013,1
2881,10,3,65,1.5,3,1,2013,0
1052,16,0,97,2.0,1,1,2009,1
1345,2,3,261,1.8,1,1,2000,0
870,32,0,40,3.0,3,1,2013,2
3334,17,0,0,2.0,3,1,2016,0
423,13,1,114,1.4,1,1,2009,0
67,27,0,140,2.4,1,1,2007,1
81,26,5,223,2.2,0,1,2009,2
8818,31,3,50,1.2,3,1,2013,0
780,16,0,253,2.0,3,1,2001,1
8239,17,0,65,2.0,0,1,2011,1
1947,17,3,95,1.4,1,1,2009,0
1853,33,5,164,1.4,3,1,1999,0
5849,12,1,112,1.4,3,1,2006,0
6653,3,3,350,2.4,0,1,1992,2
3800,42,3,88,1.6,2,1,2011,0
988,17,3,41,1.8,1,1,2014,0
4533,40,3,140,2.4,1,1,2007,0
3167,42,3,120,1.5,1,1,2001,0
491,40,0,252,4.2,0,1,2002,1
7508,7,0,105,3.5,3,1,2006,1
5132,13,1,86,1.4,1,1,2011,0
4478,10,3,126,1.6,1,1,2012,0
8668,2,3,190,3.0,3,1,2007,1
4741,40,3,105,2.5,1,1,2012,0
6068,29,1,86,1.3,0,1,2012,0
3292,2,0,183,4.2,3,1,2007,1
1491,33,4,176,1.5,0,1,2011,0
1831,15,3,37,1.5,3,1,2014,0
3084,40,0,90,2.0,3,1,2010,1
3835,29,5,250,2.5,0,1,2007,0
4735,27,0,45,2.5,0,1,2015,1
21,3,0,0,2.0,0,1,2016,1
6347,3,4,179,2.0,0,1,2007,0
8712,31,3,230,2.0,0,0,2005,0
1447,42,0,73,1.7,3,1,2007,1
6492,41,0,3,2.4,3,1,1986,1
1096,42,3,100,1.3,1,1,1990,2
8288,26,3,193,3.5,2,1,2006,2
2742,27,3,125,2.0,1,1,2008,0
5263,43,1,128,1.4,3,1,2010,0
821,3,0,80,3.0,3,1,2011,1
1895,17,0,219,2.7,1,1,2007,1
6236,27,3,180,1.6,1,1,2004,0
2900,3,3,448,3.0,3,1,1996,2
526,32,0,53,3.6,3,1,2013,1
5613,44,0,0,2.0,0,1,2016,1
2299,22,0,87,5.0,3,1,2010,1
3651,2,4,290,1.9,0,0,2002,0
8339,28,3,197,2.0,0,1,1992,0
517,3,3,233,3.0,0,1,2003,2
3050,16,3,128,2.0,3,1,2007,0
4620,17,3,59,1.4,3,1,2011,0
346,16,3,77,2.4,3,1,2011,0
8244,29,1,54,1.4,2,1,2012,0
3760,6,0,96,3.2,1,1,2007,1
4260,26,3,170,2.8,1,1,2007,1
7404,23,1,70,1.8,2,1,2012,0
2193,21,3,114,1.7,0,1,2013,0
4743,43,5,158,2.5,0,1,2003,0
3317,44,0,176,2.4,0,1,2008,1
6019,2,1,35,1.8,3,1,2014,0
5097,26,5,174,2.2,0,1,2012,2
3344,42,0,70,1.7,3,1,2008,1
6405,26,3,74,6.3,3,1,2010,2
3192,2,0,60,2.0,3,1,2012,1
5590,17,0,116,2.0,0,1,2009,1
7999,42,3,126,1.6,1,1,1979,2
8497,42,3,70,1.5,3,1,1990,2
8405,28,3,82,1.6,3,1,2008,0
93,17,0,105,1.6,3,1,2009,0
3043,35,1,300,1.6,3,1,2007,0
702,40,0,165,2.7,3,1,2005,1
5762,40,3,45,1.8,3,1,2014,0
5806,17,3,58,1.4,3,1,2011,0
1879,25,2,108,2.3,3,1,2008,1
1164,6,3,118,1.8,3,1,2011,0
3822,26,3,350,1.8,2,1,1995,2
7495,10,3,226,1.5,1,1,2005,0
6497,40,3,142,1.8,3,1,2008,0
6028,10,3,112,1.5,1,1,2008,0
3189,43,5,177,2.0,0,1,2011,0
4668,40,3,60,2.5,1,1,2014,0
1749,39,0,128,2.0,3,1,2006,1
8591,16,3,250,3.5,1,1,1999,0
6086,28,0,75,3.5,1,1,2009,1
3445,22,0,111,2.2,0,1,2007,1
7502,29,4,370,2.0,1,1,1994,2
1165,2,0,115,3.0,0,1,2010,1
8277,42,3,200,1.5,3,1,2001,0
4637,16,0,80,2.0,3,1,2009,1
5177,26,2,220,3.2,0,1,2003,2
5406,42,3,68,1.4,3,1,2011,0
8490,18,0,150,3.5,1,1,2007,1
1380,18,2,98,3.7,3,1,2008,2
136,43,2,45,2.0,0,1,2013,0
4941,43,3,300,1.8,3,1,1998,0
8012,3,3,282,2.0,3,1,1995,2
4427,40,0,120,2.0,3,1,2008,1
3491,29,3,240,3.2,3,1,2004,0
5761,43,3,189,1.8,3,1,1993,0
6448,16,0,110,2.0,3,1,2007,1
4244,25,3,163,2.0,1,1,2005,0
5824,2,2,360,2.2,1,1,1990,1
5478,13,1,48,1.4,3,1,1989,0
1725,17,3,65,1.6,3,1,2011,0
6755,26,3,159,3.5,1,1,2006,2
4057,43,5,188,1.9,0,1,2006,0
1012,17,0,1,2.0,3,1,2016,0
6179,3,0,16,3.0,0,1,2015,1
8424,38,3,180,2.0,3,1,2006,1
6445,40,3,133,2.4,1,1,2008,0
4625,29,4,232,1.8,1,0,1999,0
7004,42,1,200,1.5,3,1,2002,0
7957,23,3,126,3.5,3,1,2007,0
1149,40,1,87,1.6,3,1,2008,0
2772,26,5,381,2.2,0,1,2006,2
3306,43,5,186,2.8,3,1,2000,0
4301,29,5,253,1.7,0,1,2003,0
6341,28,3,135,1.6,3,1,2008,0
5267,23,3,172,4.6,3,1,2008,2
7793,33,3,100,1.4,3,1,2006,0
1302,32,0,110,4.5,1,1,2006,1
3761,27,0,147,2.5,0,1,2008,1
4342,12,2,40,1.2,3,1,2013,0
8036,6,1,88,1.5,2,1,2008,0
1482,26,3,160,6.5,3,1,2008,2
7352,31,1,0,1.2,3,1,2016,0
1667,10,1,34,0.8,3,1,2012,0
5636,43,1,118,1.8,1,1,1993,0
3799,33,1,75,2.0,3,1,2013,0
6709,31,1,108,1.6,0,1,2008,0
8730,33,5,265,1.9,0,0,1999,0
7699,35,3,87,1.6,3,1,2009,0
6214,43,5,312,2.5,0,1,1998,0
677,39,0,128,2.0,1,1,2007,1
8081,23,0,9,2.0,3,1,2016,1
8375,6,0,173,1.7,3,1,2008,1
4391,40,0,2,4.6,3,1,2016,1
843,38,4,115,2.5,3,1,2008,1
2091,28,0,150,2.0,3,1,2012,1
5704,17,3,149,3.3,3,1,2008,0
2482,8,5,237,2.2,0,1,2007,0
2334,26,5,215,2.2,0,1,2011,2
58,32,0,73,3.0,0,1,2011,1
6098,45,3,76,1.5,3,1,2014,0
802,27,0,127,3.0,3,1,2008,1
280,3,3,284,1.9,1,1,2000,2
3984,13,0,83,2.5,1,1,2011,1
206,22,0,140,5.0,3,1,2010,1
7657,23,0,152,4.7,1,1,2007,1
18,28,0,0,1.6,0,1,2016,1
5286,17,0,184,2.0,1,1,2007,1
4647,40,0,0,2.0,3,1,2016,1
6365,25,0,76,2.5,3,1,2014,1
3203,42,3,314,1.5,3,1,2001,0
2596,2,4,333,2.5,0,0,2000,0
5864,43,5,240,2.0,0,1,2005,0
7055,37,0,106,2.0,0,1,2008,1
1819,17,3,107,1.4,1,1,2007,0
7421,31,3,120,1.4,3,1,2008,0
3370,42,3,300,1.5,3,1,2002,0
6089,18,0,49,3.5,3,1,2008,1
7319,43,1,300,1.6,1,1,1984,0
1983,3,3,160,2.5,3,1,2005,2
564,26,0,135,3.5,3,1,2007,1
360,22,0,63,4.4,0,1,2012,1
4403,21,3,150,2.0,1,1,2008,0
5122,42,1,80,1.5,1,1,1997,0
2855,27,0,142,2.4,3,1,2006,1
6866,28,1,85,1.6,2,1,2008,1
4852,6,0,263,2.4,3,1,2007,1
3682,43,1,130,1.4,3,1,2005,0
2293,26,3,167,1.8,3,1,2005,2
8296,43,3,73,1.6,1,1,2011,0
5419,12,5,265,1.9,0,1,2003,0
8741,35,1,220,1.6,1,1,2007,0
7669,3,2,280,2.5,3,1,1985,2
4269,5,3,21,1.3,3,1,2009,0
6945,6,3,51,2.4,1,1,2012,0
7995,43,3,110,2.0,0,1,2013,0
5983,8,5,300,1.9,0,1,2002,0
6389,28,3,110,1.6,3,1,2007,0
2880,21,3,153,2.0,1,1,2007,0
6578,3,3,122,2.0,3,1,2007,2
4706,3,3,250,3.0,0,0,2002,2
7465,26,5,386,2.2,0,1,2006,2
2326,13,3,200,2.5,3,0,2001,0
8764,30,1,50,1.0,3,1,2000,0
8388,16,0,243,2.0,1,1,2001,1
2277,3,2,300,2.2,3,1,2002,2
6954,2,4,1,2.5,0,0,1998,0
6263,42,3,70,1.6,3,1,2007,0
1618,43,2,112,2.0,0,1,2011,0
3321,29,3,185,1.4,1,1,1991,0
4954,3,3,297,2.2,3,1,2000,2
4209,2,2,124,3.0,0,1,2012,1
1294,21,1,91,1.6,3,1,2012,0
5451,35,3,147,1.6,1,1,2007,0
4686,3,3,170,2.0,0,1,2011,2
2344,26,3,148,2.2,0,1,2011,2
6353,25,3,80,1.8,1,1,2011,0
6602,43,3,320,1.8,1,1,1989,0
1129,28,0,30,1.2,3,1,2015,0
4573,43,5,167,1.4,3,1,2011,0
4498,3,4,320,2.8,1,1,1997,2
5423,23,2,90,4.3,3,1,2002,2
